customerid	AddressType	AddressLine1	AddressLine2	City	StateProvinceName	PostalCode	CountryRegionName
23899	Home	00, rue Saint-Lazare	NULL	Dunkerque	Nord	59140	France
22458	Home	02, place de Fontenoy	NULL	Verrieres Le Buisson	Essonne	91370	France
21058	Home	035, boulevard du Montparnasse	NULL	Verrieres Le Buisson	Essonne	91370	France
26871	Home	081, boulevard du Montparnasse	NULL	Saint-Denis	Seine Saint Denis	93400	France
24676	Home	081, boulevard du Montparnasse	NULL	Seattle	Washington	98104	United States
17740	Home	084, boulevard du Montparnasse	NULL	Les Ulis	Essonne	91940	France
15017	Home	1 Smiling Tree Court	Space 55	Los Angeles	California	90012	United States
20553	Home	1, allée des Princes	NULL	Courbevoie	Hauts de Seine	92400	France
12649	Home	1, avenue des Champs-Elysées	NULL	Paris	Seine (Paris)	75017	France
12632	Home	1, boulevard Beau Marchais	NULL	Sèvres	Hauts de Seine	92310	France
12639	Home	1, cours Mirabeau	NULL	Roncq	Nord	59223	France
12718	Home	1, place Beaubernard	NULL	Paris	Seine (Paris)	75003	France
20910	Home	1, place Beaubernard	NULL	Paris	Seine (Paris)	75009	France
14766	Home	1, place Beaubernard	NULL	Saint-Denis	Seine Saint Denis	93400	France
27335	Home	1, place Beaubernard	NULL	Tremblay-en-France	Seine Saint Denis	93290	France
29450	Home	1, place de Brazaville	NULL	Colomiers	Garonne (Haute)	31770	France
13773	Home	1, place de Brazaville	NULL	Dunkerque	Nord	59140	France
17084	Home	1, place de Brazaville	NULL	Lille	Nord	59000	France
12510	Home	1, rue de Courtaboeuf	NULL	Lieusaint	Seine et Marne	77127	France
14959	Home	1, rue de Courtaboeuf	NULL	Lille	Nord	59000	France
24095	Home	1, rue de Courtaboeuf	NULL	Versailles	Yveline	78000	France
16439	Home	1, rue de Fontfroide	NULL	Paris	Seine (Paris)	75003	France
14689	Home	1, rue de l´Avenir	NULL	Chatou	Yveline	78400	France
27772	Home	1, rue de l´Avenir	NULL	Morangis	Essonne	91420	France
20827	Home	1, rue de la Cavalerie	NULL	Paris La Defense	Hauts de Seine	92081	France
14135	Home	1, rue de la Cavalerie	NULL	Roncq	Nord	59223	France
13531	Home	1, rue de la Cavalerie	NULL	Sèvres	Hauts de Seine	92310	France
14144	Home	1, rue de la Centenaire	NULL	Cergy	Val d'Oise	95000	France
22800	Home	1, rue de la Centenaire	NULL	Colombes	Hauts de Seine	92700	France
19320	Home	1, rue de la Centenaire	NULL	Les Ulis	Essonne	91940	France
14923	Home	1, rue de la Centenaire	NULL	Lille	Nord	59000	France
19076	Home	1, rue de la Centenaire	NULL	Roubaix	Nord	59100	France
14845	Home	1, rue de la Centenaire	NULL	Saint-Denis	Seine Saint Denis	93400	France
21080	Home	1, rue de la Centenaire	NULL	Versailles	Yveline	78000	France
19295	Home	1, rue de Maubeuge	NULL	Metz	Moselle	57000	France
15651	Home	1, rue de Maubeuge	NULL	Morangis	Essonne	91420	France
23973	Home	1, rue de Maubeuge	NULL	Paris	Seine (Paris)	75007	France
21132	Home	1, rue de Maubeuge	NULL	Paris	Seine (Paris)	75009	France
16596	Home	1, rue de Maubeuge	NULL	Saint Germain en Laye	Yveline	78100	France
14152	Home	1, rue de Maubeuge	NULL	Villeneuve-d'Ascq	Nord	59491	France
